,commit,type,min,med,max,jump,trend
128,24,simple queries,-3.358120804071163,-1.4010983137527244,1.0489969339558147,,
23,24,inserts,-0.2854778282429193,0.1460209499534182,0.5898429004567163,,
129,25,simple queries,-2.801881636281567,-0.7409285753150585,0.9327388908190404,,
24,25,inserts,-0.7404402923329667,-0.3350303295014623,0.028239754075154444,,
234,25,group-by queries,-1.4067168601733848,-0.6341583532083916,0.4415640345403205,,
130,26,simple queries,-2.108058320861294,-0.4459806013396461,1.3880821297526549,,
25,26,inserts,-0.301646909788289,0.22886869703968585,0.7352844342179088,,
235,26,group-by queries,-1.7387254502235994,-0.8755781308345867,0.35867241092348845,,
131,27,simple queries,-3.19501456391782,-0.6592685345381932,1.2429536254210172,,
236,27,group-by queries,-0.8784868952902647,-0.2764211481458556,0.3927065294198728,,
26,27,inserts,-0.3114638033098527,0.047391248821759824,0.3978298609136788,,
237,28,group-by queries,-2.137185986177703,-0.5946062968329557,0.1016191503786068,,
132,28,simple queries,0.5775218897692058,2.035008399201832,3.4552582278010835,potential up,definite up
27,28,inserts,-0.76798253067214,0.07935495900650569,0.7273386425763473,,
238,29,group-by queries,-1.8005055374373249,-0.3396148968514701,0.8970961028496927,,
133,29,simple queries,-3.559724237389217,-1.5954434699134712,0.15323611569055814,definite down,
28,29,inserts,-0.7980898551300575,-0.27490051835299395,0.4001806679222675,,
239,30,group-by queries,-2.3148817214914237,-0.9300031701134248,-0.18701631080285666,,
134,30,simple queries,-2.6560690981419,-1.2776597553683766,-0.4251923660798629,,
29,30,inserts,-0.7582162139233017,-0.00942386932659689,0.8968861133518358,,
135,31,simple queries,-3.297976849036077,-1.3154633730246057,2.1212625803330054,,
30,31,inserts,-0.5066597298447828,-0.09316980464203484,0.41997585996500497,,
240,31,group-by queries,-1.7324804709647812,-0.5937677373202721,0.8222741154547021,,
31,32,inserts,0.1499736969133858,0.5633448917233829,0.9580140128073068,,
241,32,group-by queries,-1.1885985667761445,0.2637145249542394,1.4033929745942642,,
136,32,simple queries,0.3328513085254947,1.5811502005494966,2.9676872547397704,potential up,definite up
32,33,inserts,-0.14047166763280214,0.5839276827144024,1.5483776823607576,,
242,33,group-by queries,-1.4109292869795564,-0.049980189377685225,1.5155474652845282,,
137,33,simple queries,-0.028455145329542294,1.0965134893347273,2.5677389718270494,,
33,34,inserts,-0.16381341655267168,0.5946417539200999,1.5639453335247078,,
138,34,simple queries,-0.3950199886386563,0.5798238782727339,1.9121037574825417,,
243,34,group-by queries,-0.7743416260046598,0.09256050421138083,1.4901506172346313,,
139,35,simple queries,-3.9882961281541336,-1.1564385018465573,0.7924577657922205,,
34,35,inserts,0.7106198795143737,1.0230004120242553,1.3616354876087922,,
244,35,group-by queries,-0.9716527655116768,0.5243876611455089,1.3162516329565666,,
140,36,simple queries,-0.833954575556628,0.8753835309396996,2.265623465738975,potential up,
35,36,inserts,0.3814153247174268,0.8499980145112218,1.176746866328382,,
245,36,group-by queries,-2.2254265929366857,-0.5568997107202156,0.6992272397164934,potential down,
36,37,inserts,-0.5439378371618231,0.02433903799337056,0.5351149897951046,,
246,37,group-by queries,-5.1657250761899745,-3.839491152273411,-3.049477759976449,definite down,
141,37,simple queries,-25.654411407129484,-23.962349253134853,-22.329218076523762,definite down,
247,38,group-by queries,-4.275895318882206,-3.1831290223802484,-2.1757492622435204,,
142,38,simple queries,-26.092899555740818,-24.605258948860094,-23.277161260729017,,
37,38,inserts,0.17707882323803048,0.9645558569623348,1.9140208899949496,,
248,39,group-by queries,-17.97762451998739,-16.892932260443803,-14.343309256617811,definite down,
143,39,simple queries,-28.64949419069247,-27.20847255542117,-26.05623014701305,potential down,definite down
38,39,inserts,-0.2808906206366979,0.31655740782241537,0.7904891790135427,,
144,40,simple queries,-28.97025056589123,-27.592695423837718,-25.985414349978107,,definite down
39,40,inserts,-0.5393981430233619,0.12752690170814152,0.8694908099843079,,
249,40,group-by queries,-17.397664195392824,-16.19664973771573,-14.63838756115715,,
40,41,inserts,-0.2860479476460509,0.3682914603321708,0.9718645915584244,,
250,41,group-by queries,-18.667438173519322,-17.727375498919088,-15.962302609040304,potential down,potential down
145,41,simple queries,-29.65324647851325,-27.846597134469427,-26.177891062474078,,definite down
41,42,inserts,0.2607074547207322,0.9146121407685116,1.7945305058183925,,
251,42,group-by queries,-18.974180629965907,-15.085430991100148,-13.652557352165305,potential up,potential up
146,42,simple queries,-29.108663909573217,-27.264140815431148,-26.00429848495649,,
42,43,inserts,0.3312683053580123,0.6354142710590649,0.982962305377888,,
252,43,group-by queries,-17.110655069504322,-15.87182444508608,-14.44793566454109,,
147,43,simple queries,-27.969541281444965,-26.313142923177182,-24.58263461373773,,
253,44,group-by queries,-18.103512924942144,-16.388071223018052,-15.368444434253556,,
148,44,simple queries,-30.298695505393354,-28.42330450344316,-25.858604287520038,potential down,definite down
43,44,inserts,-0.4569896700764353,0.07312878844625281,0.6242830704028757,,
149,45,simple queries,-28.867095393582048,-27.335465674739808,-26.018045629451226,,
44,45,inserts,0.404413433596873,1.067105872163343,1.613636130103813,,
254,45,group-by queries,-16.021837383906472,-15.27079429956074,-14.416283775821706,potential up,potential up
150,46,simple queries,-28.560971969368836,-27.137865474890265,-25.2767233532246,,
45,46,inserts,-0.6000939592811451,0.016866943708060408,0.5452258482127714,potential down,
255,46,group-by queries,-18.337481530942913,-17.47972462672347,-16.786088082634578,definite down,
151,47,simple queries,-30.10587634458879,-27.30112815747575,-25.66627977574082,,
256,47,group-by queries,-18.786153599358503,-17.620643766914426,-16.562720137649656,,
46,47,inserts,-0.4449657115103145,0.5365893610673078,1.2046177301226593,,
257,48,group-by queries,-0.6712226485831585,0.487800380890624,1.2611072048934302,definite up,
152,48,simple queries,-8.727249509614799,-7.198165252768008,-5.974521466005911,definite up,
47,48,inserts,14.161245925770082,14.750641200233504,15.531768251275025,definite up,
258,49,group-by queries,-0.6392764974110565,0.8001353668175115,2.296512301003739,,
153,49,simple queries,-8.73756076736546,-7.641454526278125,-5.9659519927538485,,
48,49,inserts,13.326660962511694,14.158624732334713,14.87679689938879,,
154,50,simple queries,-9.13826951425236,-7.549854887515794,-6.550140301666308,,
49,50,inserts,13.3066735900782,14.127989775662053,14.985993902344475,,
259,50,group-by queries,-0.7131788890766599,0.4523794213939114,1.7966381194097325,,
50,51,inserts,14.422016001398475,15.252715039005606,15.875661990730984,potential up,
260,51,group-by queries,-0.6137174063007511,0.467712087169736,2.061809888786104,,
155,51,simple queries,-9.358327972384684,-8.476304926457335,-7.222396447857528,,
51,52,inserts,14.202237324250364,14.782856077022032,15.266388606980552,,
261,52,group-by queries,-0.8975553940663072,0.0970511126863194,2.007372949039788,,
156,52,simple queries,-8.806173210123347,-7.421986843249306,-6.006183712771707,,
262,53,group-by queries,-1.485560212310355,0.039245801113652064,1.1634704516455985,,
157,53,simple queries,-8.459968752819968,-6.853731107455207,-4.859172079692387,,
52,53,inserts,13.4284231896298,14.31733159867443,14.942601095874865,,
158,54,simple queries,-8.789514128963717,-7.845685134293977,-6.111028285419984,,
53,54,inserts,13.650712215854588,14.761505364921756,15.715897500200903,,
263,54,group-by queries,-0.9067904992736021,0.051164229163003234,1.4651842350048794,,
159,55,simple queries,-8.908436820427056,-7.685684013059301,-6.29057390357386,,
54,55,inserts,14.19838198151293,14.633914031079408,15.061401854723844,,
264,55,group-by queries,-0.15751070709256745,0.8109712234740218,1.8909003636952804,,
160,56,simple queries,-9.258519468253557,-7.374742509374277,-4.5755668978601625,,
55,56,inserts,14.247546545695887,14.808398940718329,15.167343510164423,,
265,56,group-by queries,-1.2687912099412335,-0.10376886735902202,1.1536831672801284,,
56,57,inserts,14.625028305494926,15.127340710172298,15.487095936251887,,
266,57,group-by queries,-0.14856167033560075,1.2475670267884764,2.2541267475688853,potential up,
161,57,simple queries,-10.265910574222737,-8.271806026512596,-6.503624365122207,,
267,58,group-by queries,-0.8617328591258966,0.33934549317207185,2.0216803530566763,,
162,58,simple queries,-10.955842232748225,-8.43184075243263,-6.2504221954484915,,
57,58,inserts,13.955807477930325,14.341015035581606,14.747464797067213,,
268,59,group-by queries,-0.8595892555477658,0.021697889228589062,1.932267807521626,,
163,59,simple queries,-10.352458755714524,-7.8556320272656475,-6.1823550594689145,,
58,59,inserts,13.731688626062644,14.257048186767786,14.76452037811904,,
269,60,group-by queries,-0.0464292185664128,2.0729543777567856,3.1338672674421137,potential up,potential up
59,60,inserts,14.906234813139818,15.47251358960384,16.235259549605075,definite up,
